observation --- [19, 688, 699, 79, 232, 868] info --- {'sequence': ['N639', 'N125', 'N219', 'E223', 'E215', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2414011911835072 loss --- 452.49267578125 logZ --- 1.085554838180542
observation --- [122, 526, 91, 726, 315, 868] info --- {'sequence': ['N245', 'N528', 'N307', 'E234', 'E99', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.7739871740341187 logZ --- 1.085554838180542
observation --- [191, 337, 395, 480, 285, 868] info --- {'sequence': ['N474', 'N589', 'N708', 'E176', 'E57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1195625912010894 loss --- 472.65618896484375 logZ --- 1.085554838180542
observation --- [357, 337, 226, 467, 457, 868] info --- {'sequence': ['N495', 'N589', 'N267', 'E10', 'E130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0930638091021185 loss --- 475.5708312988281 logZ --- 1.09000563621521
observation --- [434, 125, 179, 201, 618, 868] info --- {'sequence': ['N377', 'N197', 'N161', 'E19', 'E118', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.5949747562408447 logZ --- 1.09000563621521
observation --- [19, 773, 34, 811, 79, 868] info --- {'sequence': ['N639', 'N102', 'N57', 'E90', 'E223', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4185939171021087 loss --- 436.3117370605469 logZ --- 1.09000563621521
observation --- [737, 773, 50, 315, 414, 868] info --- {'sequence': ['N333', 'N102', 'N435', 'E99', 'E188', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.206049284596641 loss --- 450.6081848144531 logZ --- 1.09000563621521
observation --- [540, 546, 317, 117, 166, 868] info --- {'sequence': ['N695', 'N481', 'N2', 'E42', 'E14', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.140341524003785 loss --- 484.360107421875 logZ --- 1.09000563621521
observation --- [575, 341, 645, 646, 677, 868] info --- {'sequence': ['N571', 'N684', 'N115', 'E106', 'E189', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1672176693674772 loss --- 489.64501953125 logZ --- 1.0946319103240967
observation --- [570, 284, 222, 63, 796, 868] info --- {'sequence': ['N516', 'N92', 'N385', 'E76', 'E59', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0796412293589135 loss --- 451.1574401855469 logZ --- 1.0946319103240967
observation --- [626, 417, 830, 667, 799, 868] info --- {'sequence': ['N216', 'N86', 'N282', 'E134', 'E166', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.8863211274147034 logZ --- 1.0946319103240967
observation --- [795, 250, 674, 462, 452, 868] info --- {'sequence': ['N408', 'N9', 'N32', 'E31', 'E67', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.4713397026062012 logZ --- 1.0946319103240967
observation --- [843, 264, 102, 404, 460, 868] info --- {'sequence': ['N320', 'N554', 'N395', 'E122', 'E192', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.7418403625488281 logZ --- 1.0946319103240967
observation --- [214, 250, 806, 168, 528, 868] info --- {'sequence': ['N592', 'N9', 'N156', 'E159', 'E26', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.043337345123291 logZ --- 1.0991969108581543
